et-1/0/1:0,355068523
et-1/0/1:1,355223816
et-1/0/1:2,355322243
et-1/0/1:3,360532327
et-1/0/2:0,354644067
et-1/0/2:1,355107171
et-1/0/2:2,355602241
et-1/0/2:3,355262793
et-1/0/3:0,355520123
et-1/0/3:1,354799321
et-1/0/3:2,354525973
et-1/0/3:3,356465073
et-1/0/4:0,354737193
et-1/0/4:1,353969245
et-1/0/4:2,356314559
et-1/0/4:3,356795834
et-1/0/9:3,154452141
et-1/0/12:2,1918605276
et-1/0/12:3,1918585889
et-1/0/13:1,1918449418
et-1/0/13:2,1918689390
et-1/0/13:3,1918749059
et-1/0/23:0,423075
et-0/0/0:1,3813247228
et-0/0/1:0,354747367
et-0/0/1:1,355774771
et-0/0/1:2,355207919
et-0/0/1:3,353798734
et-0/0/2:0,356612489
et-0/0/2:1,356112965
et-0/0/2:2,355694583
et-0/0/2:3,357346272
et-0/0/3:0,354661344
et-0/0/3:1,354899658
et-0/0/3:2,355267993
et-0/0/3:3,355029936
et-0/0/4:0,355793079
et-0/0/4:1,355401000
et-0/0/4:2,356454455
et-0/0/4:3,355939387
et-0/0/9:0,15390801988
et-0/0/9:1,903793
et-0/0/9:3,917843
em0,947703
em1,57523
ixlv0,29800721
ixlv1,615445
lo0,5720754
et-3/0/12:0,1918814729
et-3/0/12:1,1919046252
