et-1/0/2:1,355106563
et-1/0/2:2,355601604
et-1/0/2:3,355262167
et-1/0/3:0,355519505
et-1/0/3:1,354798721
et-1/0/3:2,354525340
et-1/0/3:3,356464483
et-1/0/4:0,354736604
et-1/0/4:1,353968671
et-1/0/4:2,356313994
et-1/0/4:3,356795189
et-1/0/9:3,153541015
et-1/0/12:2,1918600942
et-1/0/12:3,1918581592
et-1/0/13:1,1918445253
et-1/0/13:2,1918685085
et-1/0/13:3,1918744743
et-1/0/23:0,86340
et-0/0/0:1,3813259363
et-0/0/1:0,354748469
et-0/0/1:1,355775955
et-0/0/1:2,355209075
et-0/0/1:3,353799919
et-0/0/2:0,356613594
et-0/0/2:1,356114074
et-0/0/2:2,355695764
et-0/0/2:3,357347392
et-0/0/3:0,354662438
et-0/0/3:1,354900865
et-0/0/3:2,355269156
et-0/0/3:3,355031102
et-0/0/4:0,355794168
et-0/0/4:1,355402145
et-0/0/4:2,356455634
et-0/0/4:3,355940539
